group,term
no,abiotic factors
no,adaptive management
no,age classes
no,age structure
no,aimophila aestivalis
no,american forests
no,american robin
no,animal species
no,anthropogenic disturbances
no,associated species
no,avian communities
no,avian community
no,avian community composition
no,avian diversity
no,avian predators
no,avian species
no,avian species richness
no,bachman's sparrow
no,bachman's sparrows
no,baeolophus bicolor
process,bark beetle
process,bark beetles
process,basal area
process,beetle outbreaks
no,biodiversity conservation
no,biological diversity
no,biological legacies
process,bird abundance
process,bird assemblage
process,bird assemblages
process,bird communities
process,bird community
process,bird community composition
process,bird conservation
process,bird densities
process,bird density
process,bird diversity
process,bird populations
process,bird species
process,bird species richness
no,black hills
no,black spruce
no,boreal forest
no,boreal forests
no,breast height
no,breasted nuthatch
no,breasted nuthatches
no,breeding bird community
no,breeding bird species
no,breeding birds
process,breeding habitat
process,breeding pairs
process,breeding population
process,breeding season
process,breeding seasons
process,breeding site
no,british columbia
no,brown creeper
fire,burn severity
fire,burn treatments
fire,burned forest
fire,burned forests
fire,burned habitats
fire,burned pine
fire,burned plots
fire,burned ponderosa pine
fire,burned sites
process,canopy cover
no,canopy forest
no,canopy forests
process,canopy openness
no,canopy trees
no,cardinalis cardinalis
no,cascade range
process,cavity excavation
woodpecker,cavity nesters
woodpecker,cavity nesting
process,cavity trees
no,certhia americana
no,chipping sparrow
no,climate change
no,coarse woody debris
no,coastal plain
no,cockaded woodpecker
no,cockaded woodpeckers
no,colaptes auratus
no,colinus virginianus
process,community composition
process,community dynamics
process,community structure
no,conifer forest
no,conifer forests
no,coniferous forest
no,coniferous forests
no,conservation biology
no,conservation concern
no,conservation implications
no,conservation management
no,conservation measures
no,conservation planning
no,conservation value
no,contopus virens
no,control plots
no,cooper ornithological society
no,cover types
no,critical role
process,daily survival rates
process,dead tree
process,dead trees
process,dead wood
no,deciduous trees
no,dendroctonus frontalis
no,dendroctonus ponderosae
no,dependent species
no,detrimental effects
process,diameter snags
process,diameter trees
no,direct effects
process,distribution within habitat
no,disturbance regime
no,disturbance regimes
no,dormant season
no,dry forest
no,dry forests
process,ecological consequences
process,ecological processes
no,ecological restoration
no,ecological society
no,ecological techniques
no,ecosystem management
process,ecosystem processes
no,ecosystem restoration
no,ecosystem services
no,eglin air force base
no,elsevier science
no,endangered species
no,endangered status
no,environmental variables
no,federal lands
no,field experiment
fire,fire behavior
fire,fire ecology
fire,fire effects
fire,fire exclusion
fire,fire frequency
fire,fire history
fire,fire intensity
fire,fire management
fire,fire regime
fire,fire regimes
fire,fire season
fire,fire severity
fire,fire suppression
fire,fire surrogate
no,focal species
process,food availability
process,food resources
process,foraging habitat
process,foraging trees
no,forest age
no,forest and woodland
process,forest bird communities
no,forest bird species
no,forest birds
process,forest canopy
process,forest communities
no,forest conditions
no,forest ecosystem
no,forest ecosystems
fire,forest fire
fire,forest fires
no,forest floor
no,forest fragmentation
no,forest habitat
no,forest habitats
no,forest landscape
no,forest landscapes
no,forest management
no,forest management practices
no,forest managers
no,forest patches
no,forest restoration
no,forest service
no,forest species
no,forest stands
process,forest structure
no,forest thinning
no,forest type
no,forest types
no,forestry practices
no,frequent prescribed
fire,fuel loads
fire,fuel reduction
fire,fuel reduction treatments
no,future research
process,gleaning species
process,ground cover
no,growing seasons
no,growth forest
no,growth forests
process,growth rates
no,growth stands
no,gulf coastal plain
process,habitat associations
process,habitat availability
process,habitat characteristics
process,habitat components
process,habitat conditions
process,habitat features
process,habitat fragmentation
process,habitat loss
process,habitat management
process,habitat preference
process,habitat quality
process,habitat relationships
process,habitat requirements
process,habitat restoration
process,habitat selection
process,habitat species
process,habitat structure
process,habitat structures
process,habitat suitability
process,habitat type
process,habitat types
process,habitat use
process,habitat utilization
process,habitat variables
no,hairy woodpecker
no,hairy woodpeckers
no,hardwood forest
no,hardwood forests
no,hardwood midstory
no,hardwood stands
no,headed cowbird
no,headed nuthatches
no,headed woodpecker
no,headed woodpeckers
process,herbaceous cover
process,herbaceous vegetation
no,herbicide application
process,home range
process,home range size
process,home ranges
no,indicator species
no,indigo buntings
no,indirect effects
no,individual species
no,information theoretic approach
process,insect prey
no,intensive management
no,jack pine
no,land management
no,land managers
process,landscape composition
process,landscape heterogeneity
no,landscape level
no,landscape scale
no,landscape scales
process,larger diameter
process,leaf litter
no,lewis's woodpecker
no,lewis's woodpeckers
no,life cycle
no,life history
no,literature review
no,little effect
no,little information
process,live trees
no,loblolly pine
no,local scale
no,lodgepole pine
no,logistic regression
no,longleaf pine
no,longleaf pine ecosystem
no,longleaf pine forest
no,longleaf pine forests
no,longleaf pine restoration
no,longleaf pine sandhills
no,longleaf pine stands
no,low intensity
no,low severity
no,mammal species
no,management actions
no,management activities
no,management implications
no,management objectives
no,management practices
no,management strategies
no,management techniques
no,management tool
no,mature forest
no,mature forests
no,mature pine
no,mechanical felling
no,mechanical thinning
no,melanerpes erythrocephalus
no,melanerpes lewis
no,mixed conifer
no,mixed conifer forest
no,mixed conifer forests
no,model selection
no,mountain bluebird
no,mountain chickadee
process,mountain pine
process,mountain pine beetle
no,multiple spatial
no,national forest
no,national forests
no,national park
fire,natural disturbance
fire,natural disturbance regimes
fire,natural disturbances
no,negative effect
no,negative effects
no,negative impacts
no,neotropical migrants
process,nest cavities
process,nest densities
process,nest density
process,nest predators
process,nest site
process,nest site selection
process,nest sites
process,nest success
process,nest survival
process,nest survival rates
process,nest trees
no,nesting bird
no,nesting bird species
no,nesting birds
process,nesting habitat
process,nesting site
no,nesting species
process,nesting success
no,north america
no,north american
no,north carolina
no,northern arizona
no,northern bobwhite
no,northern flicker
no,northern flickers
no,northern rocky mountains
no,northwest florida
no,oak forests
no,oak woodlands
no,odocoileus virginianus
no,old growth
no,ouachita mountains
no,ouachita national forest
no,palustris ecosystems
no,passerina cyanea
no,peucaea aestivalis
no,picea mariana
no,picoides albolarvatus
no,picoides arcticus
no,picoides borealis
no,picoides tridactylus
no,picoides villosus
no,pine ecosystems
no,pine flatwoods
no,pine forest
no,pine forest habitat
no,pine forests
no,pine plantations
no,pine species
no,pine stands
no,pine trees
no,pinus banksiana
no,pinus contorta
no,pinus echinata
no,pinus palustris
no,pinus ponderosa
no,pinus spp
no,pinus taeda
no,plant communities
no,plant community
process,plant diversity
no,plant species
no,ponderosa pine
no,ponderosa pine forest
no,ponderosa pine forests
process,population declines
process,population density
process,population dynamics
process,population level
process,population levels
process,population size
process,population trends
no,populus tremuloides
no,positively correlated
fire,postfire forests
fire,postfire management
fire,postfire salvage
fire,postfire salvage logging
fire,prescribed burn
fire,prescribed burning
fire,prescribed burns
fire,prescribed fire
fire,prescribed fires
process,prey availability
process,primary cavity
no,pseudotsuga menziesii
no,pygmy nuthatches
no,quercus spp
no,radio telemetry
process,range size
no,rare species
fire,recently burned forests
no,reduction treatments
no,regional scale
no,regression models
process,relative abundance
no,relative importance
no,remote sensing
process,reproductive behaviour
process,reproductive productivity
process,reproductive success
process,resource selection
no,restoration efforts
no,restoration treatments
no,return interval
no,return intervals
no,riparian habitat
no,rocky mountains
no,salvage logging
no,scale disturbance
fire,season burning
fire,season burns
fire,season fires
no,secondary cavity
no,selective logging
fire,severe fire
fire,severe fires
fire,severity fires
no,short term
no,shortleaf pine
process,shrub cover
no,sialia mexicana
no,sierra nevada
no,significant differences
no,significant effects
no,significantly lower
process,site availability
process,site characteristics
process,site selection
no,sitta canadensis
no,sitta carolinensis
no,sitta pusilla
no,sitta pygmaea
no,small mammal
process,snag densities
process,snag density
process,source habitat
no,south carolina
no,south dakota
no,south east
no,southeastern united states
no,southern appalachians
no,southern pine
process,southern pine beetle
no,space use
process,spatial distribution
no,spatial environment
process,spatial patterns
no,spatial scales
no,specialist species
process,species abundance
process,species assemblages
process,species composition
process,species density
process,species distribution
process,species distribution models
process,species diversity
process,species habitat
process,species responses
process,species richness
no,spotted owl
no,spotted woodpecker
fire,stand age
no,stand level
fire,stand replacement fire
no,stand scale
process,stand structure
no,strix occidentalis
process,structural attributes
process,structural characteristics
no,study plots
no,study site
no,study sites
no,successional habitat
process,suitable habitat
fire,summer wildfire
process,survival rates
no,tailed deer
no,term effects
process,term responses
no,theoretic approach
no,threatened species
no,timber harvest
no,timber harvesting
fire,time since fire
no,toed woodpecker
no,toed woodpeckers
process,total bird abundance
process,tree basal
process,tree cavities
process,tree cover
process,tree density
process,tree diameter
process,tree mortality
process,tree size
process,tree species
no,turdus migratorius
no,unburned control
no,unburned forest
no,unburned forests
no,unburned habitats
no,unburned sites
no,unburned stands
process,understory vegetation
no,untreated stands
no,upland hardwood
no,upland pine
no,usda forest service
process,vegetation characteristics
process,vegetation composition
process,vegetation cover
process,vegetation structure
process,vegetation type
process,vegetation types
no,vireo olivaceus
no,western bluebird
no,western north america
no,wildlife habitat
no,wildlife management
no,wildlife society
no,wildlife species
"bird, process",woodpecker foraging
"bird, process",woodpecker habitat
"bird, process",woodpecker nest
"bird, process",woodpecker nests
"bird, process",woodpecker population
"bird, process",woodpecker populations
"bird, process",woodpecker species
process,woody debris
process,woody vegetation
